Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1596496023.910	     1.717	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/7B0F78DE-2777-7D41-A1F4-B2866559A966.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/7B0F78DE-2777-7D41-A1F4-B2866559A966.root
1	:	1596496023.888	     1.752	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/B5BC1612-0EBD-6E40-BAE9-B3B7E6D41358.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/B5BC1612-0EBD-6E40-BAE9-B3B7E6D41358.root
3	:	1596496023.895	     1.769	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/230000/AC77CA38-8C63-A342-922B-9C92A918085E.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/AC77CA38-8C63-A342-922B-9C92A918085E.root
7	:	1596496023.907	     1.763	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/B3D364F7-509F-724F-B344-7B6CA3658A45.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/B3D364F7-509F-724F-B344-7B6CA3658A45.root
5	:	1596496023.902	     1.785	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/F99E82F4-C889-4B42-B7E9-9D259AD9C979.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/F99E82F4-C889-4B42-B7E9-9D259AD9C979.root
4	:	1596496023.899	     1.792	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/230000/51C1434D-AABA-9845-A757-9AD0C37D5CDA.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/51C1434D-AABA-9845-A757-9AD0C37D5CDA.root
10	:	1596496023.915	     1.778	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/371E452E-5D2D-734F-8477-9D87527A5F57.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/371E452E-5D2D-734F-8477-9D87527A5F57.root
6	:	1596496023.904	     1.807	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/A89D8A07-11CD-A940-874E-1855C26F2725.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/A89D8A07-11CD-A940-874E-1855C26F2725.root
2	:	1596496023.891	     1.830	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/C64180EB-CAEC-2D4D-9517-BA10A19498FA.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/C64180EB-CAEC-2D4D-9517-BA10A19498FA.root
9	:	1596496023.913	     1.835	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/240000/F881C05A-7A35-FF48-B343-9AFB7D535424.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/F881C05A-7A35-FF48-B343-9AFB7D535424.root
19	:	1596496025.727	     1.446	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/240000/C16B8C76-1896-F145-BA9D-2838AD4457DB.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20_ext1-v1/C16B8C76-1896-F145-BA9D-2838AD4457DB.root
12	:	1596496025.645	     1.740	0	0	54	0	xrdcp root://cmsxrootd.fnal.gov//store/mc/RunIIAutumn18NanoAODv6/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/30000/22B85624-4AD9-FA46-8995-FBD353A4846C.root root://redirector.t2.ucsd.edu//store/user/dspitzba/nanoAOD/WWToLNuQQ_NNPDF31_TuneCP5_13TeV-powheg-pythia8__RunIIAutumn18NanoAODv6-Nano25Oct2019_102X_upgrade2018_realistic_v20-v1/22B85624-4AD9-FA46-8995-FBD353A4846C.root
